# Native .text contribution start	unit
00401000	system
00407AF4	sysinit
00407BFC	types
00407C54	windows
00408AD4	activex
00408AF4	sysconst
00408DEC	sysutils
0040FD5C	varutils
0041054C	variants
00412EDC	rtlconsts
00412FD4	typinfo
0041385C	classes
0041D51C	inifiles
0041D57C	registry
0041DC54	math
0041DFF8	contnrs
0041E18C	helpintfs
0041F3F0	multimon
0041FB64	commctrl
0041FCF8	consts
0041FF58	graphics
0042951C	syncobjs
00429688	uxtheme
0042A244	dwmapi
0042A3D8	shellapi
0042A3E0	shlobj
0042A3F0	stdctrls
0042C7B4	printers
0042C7F0	widestrutils
0042C838	graphutil
0042D5B0	extctrls
0042E5BC	dialogs
004300E4	clipbrd
004306B0	stdactns
004307E0	flatsb
00430AF0	menus
004385D4	controls
0044C0C8	themes
0044CC40	imglist
0044E320	actnlist
0044F654	forms
0045E7C0	mmsystem
0045E7E8	globalsv
0045EB5C	ec_struct
0045EF04	direct3d9
0045F028	crcunit
0045F274	jconsts
0045F28C	jpeg
004725F4	ec_filestream
00472C14	directsound
00472CD4	breakmessagegiexception
00472D30	vfw
00472DCC	gi_xvid
00473C04	gi_circle
00474C8C	gi_polyline
004761FC	gr_gi
004780D0	ec_cachegai
00478F0C	gi_spaceimg
00479DF8	gi_spacecircle
0047ACA0	gi_starfieldimg
0047C0F0	ec_cachepalbitmap
0047C3A8	ec_cacherotatebuf
0047C838	ec_cacheplanettempl
0047CC00	ec_cachelightpal
0047D1FC	ec_cachetbitmap
0047D560	ec_cachebitmap
0047D890	gi_starfieldm
0047E9A8	gi_starfield
0047FC10	ec_cachegi
004828F8	gi_graphbuf
00483EF8	gi_shrlight
004845F0	gi_frame
00484E20	gi_line
004851D0	gi_simpleimage
00485EE0	gi_transimage
00486A18	gi_gi
00487BC4	ec_cachealphabitmap
00488268	gi_alphaimage
00489144	gi_aimage
0048998C	gi_image
0048AD20	ec_cachefont
0048FBB4	gi_label
00493A6C	gi_scrollbar
004979F8	gi_panelscrollbar
00498A74	gi_grid
0049B9E8	gi_radiogroup
0049C12C	gi_checkbox
0049C8B4	gi_planet
0049FE38	gi_planetbutton
004A03A4	gi_statusbar
004A0DA0	gi_graphbutton
004A4210	gi_countbar
004A54F8	gi_edit
004A79E8	gi_zone
004A8238	gi_textbutton
004A9954	gi_simplebutton
004AA00C	gi_door
004AA6D4	gi_multiimage
004AB90C	gi_gaifile
004AD4A4	gi_infiniteimage
004AD9FC	gi_rotateimagegai
004AEF08	ec_cachehsai
004AF430	gi_rotateimage5
004B0FA4	gi_rotateimage2
004B1B34	gi_rotateimage
004B24AC	gi_sbpath
004B2F9C	gi_window
004B3F20	gi_panel
004B4E40	popup
004B589C	gi_cursor
004B6840	gi_main
004B81C4	ec_okgf
004B81CC	apacket
004B8594	directxrenderexception
004B8730	dateutils
004B8790	tlhelp32
004B8A6C	messagetext
004B8CD8	gr_main
004C87DC	gr_rect
004C9010	gi_messageloop
004D036C	gi_gai
004D36FC	se_soundrnd
004D3F54	wstringutils
004D3FF4	nosteamachievemens
004D4F10	simplesteamapi
004D5528	gi_messagebox
004D6644	se_gate
004D75A0	acalc
004D75EC	apath
004D8568	agalaxyevent
004D8BA8	textquestinterface
004D8EDC	textfieldclass
004D90A8	eventclass
004D936C	valuelistclass
004D9AB4	cpdiapclass
004DA7F0	parviewstringclass
004DA99C	parameterclass
004DB9A4	cpvarclass
004DBED8	calcparseclass
004E0E10	parameterdeltaclass
004E1870	locationclass
004E32EC	sequenceclass
004E36A8	pathclass
004E4C58	textquest
004E84A0	ec_cachebuf
004E873C	ab_global
004EA2F0	gi_tail
004EB36C	ec_ether
004EB898	gi_psweapon
004EBB70	gi_radialeffect
004ED658	gi_psmissilehit
004ED898	gi_pdturretweapon
004EE16C	gi_pseyes
004EF8E8	gi_psweapon17kafacitor
004F0C28	gi_psweapon16esodafer
004F2428	gi_psweapon14vertix
004F265C	gi_psweapon13imho
004F3390	gi_psweapon12turbogravir
004F4E34	gi_psweapon11desintegrator
004F65A8	gi_psweapon10avision
004F7414	gi_psweapon09mresonator
004F8EB8	gi_psweapon08ecutter
004F9B3C	gi_psweapon07blaster
004FB1B0	gi_psweapon06phaser
004FC108	gi_psweapon05treton
004FD454	gi_psweapon03lezka
004FE914	gi_psweapon02fragcannon
004FFF98	gi_psweapon01laser
005015BC	agroup
005028E0	fchameleon
00504108	ftextbox
00504FD0	fcount2
00506684	aeobjinfo
00509034	flistbox
00509FDC	fplanet
0050B8E4	fplanetno
00513360	fgoodsshop2
0051B13C	fscaner
00524750	fgov
0052DE44	ffilm
0053079C	amodsinfo
00532C30	fmods
00538B20	fmainform
0053BA18	fjump
0053C85C	fgameload
0053D544	fgamemenu
0053E458	fcfgsettings
0054EAA4	fgameend
00551E28	fplanetquest
0055A730	ab_w18
0055AEB0	ab_w17
0055B75C	ab_w16
0055C040	ab_w15
0055C6F0	ab_w14
0055CC00	ab_w13
0055D238	ab_w12
0055D8B4	ab_w11
0055E05C	ab_w10
0055E920	ab_w09
0055F0A8	ab_w08
0055F740	ab_w07
0055FE8C	ab_w06
005603BC	ab_w05
00560B8C	ab_w04
00561378	ab_w03
00561868	ab_w02
00561E30	ab_w01
0056269C	ab_w
00564EBC	abwall
0056579C	fruinstalk
0059BCD4	fpanelplanet
0059CB60	finfo
005AB398	apirate
005B5EA8	awarrior
005BF71C	atransport
005C5E20	akling
005CD9E0	atranclucator
005D137C	fabout
005D21EC	fintroduction
005D3660	fgamesettings
005D6D94	fgamesettings2
005E4A48	se_missile
005E5554	amissile
005E8A4C	frewards
005EA658	frating2
005F1F08	fselectface
005F33B4	fjournal
005F651C	floadrobot
005FAA84	floadquest
005FE350	floadab
0060012C	asaveload
00602698	blockparexception
00602794	exceptioninfo
00602C2C	ab_polygon
00603988	fload
00605590	ftalk
0061B080	fhangar
00621E84	fcustom
00622258	fcount1
006236EC	ascriptfun
00669F50	ascript
0067A488	ab_space
0067E7DC	ab_shipai
00681B40	ab_object
00682F00	se_ship2
00686344	ab_hit
006879E4	ab_ship
0068A53C	ab_stopline
0068BBE4	ab_worldline
0068C108	ab_worldimage
0068C934	ab_zone
0068DF34	ab_item
0068ECE0	ab_mainform
0069F5F0	se_gaieffect
0069FAEC	fgalaxy2
006A98A0	fpanelruins
006AA500	fequipmentshop
006B1890	cheatcode
006B7B3C	fscore
006BFC28	se_planet
006C45FC	se_sputnik
006C4FAC	se_asteroid
006C55F8	ffilmfile
006C5B80	fgint
006C8B30	fgintrsa
006C8DEC	se_ruins
006CA3B8	aruins
006D34E0	fship2
006F72C4	se_star
006F7B24	aship
0072F5CC	threadcalc
0072FEC4	se_container
00730524	aitem
0074FE08	aranger
00768A00	se_hole
00769418	aasteroid
0076A264	aplanet
007819A0	anormalship
0078BD6C	aplayer
0079A0DC	fpanelload
0079B6B4	fsavemanager
007A1014	fpanelmain
007A5B70	fstarmap
007C8AA0	se_meteorite
007C9300	se_angel
007CA604	se_anim
007CAB54	se_comet
007CC330	se_bgobj
007CC62C	se_laser
007CCFF8	se_starsfield
007CD378	se_process
007CEC0C	aefilm
007D2614	aefilmend
007D2F40	se_space
007D4E24	se_weapon
007D95FC	aconst
007E7FA8	robot
007E9830	gr_dx
007EBFB8	ec_cachesound
007EC35C	ec_data
007F3258	ec_cache
007F4934	vorbisfile
007F5204	gr_sound
007F851C	ec_thread
007F8C28	gr_music
007FA078	ec_str
007FD314	achievements
007FF5E8	fachievements
00800C3C	globals
008138CC	se_garbage
00813D74	ec_mem
0081463C	gr_graphbufpal
00814AC8	ec_expression
0082735C	ec_blockpar
0082AB70	ec_hsfile
0082DE84	ec_file
0082EA5C	ec_buf
008304FC	gr_graphbuf
00836A18	avector
00838A20	agalaxy
0087112C	amyfunction
00873228	rangers
